,Address,Title,Country Name,Description,Tags,Profile Link
0,-,"Stand No- H18-B10, H18-B30, Hall No- Hall 18",United Arab Emirates,"Strengthening the pioneering role of women, and achieving global indicators in various fields.", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDQxOA==
1,11XBOOSTERS.COM,"Stand No- H1-C60.9, Hall No- Hall 1",Latvia,Our expertise shines brilliantly across these sectors: from the transformative world of blockchain to the dynamic landscapes of FinTech and AI,Software Services - Blockchain - Coding and Development - Ecommerce - Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzYxOA==
2,12GRIDS,"Stand No- H15-D30-29, Hall No- Hall 15",India,"12Grids: Leading Customer Experience Technology company, revolutionizing web solutions & CRM. Join us at GITEX Global 2023 in Dubai!","Software Services - Cloud Services - Coding and Development - Ecommerce - Media, Marketing & Advertising Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzU1MA==
3,13059866584,"Stand No- H20-13, Hall No- Hall 20",United States of America,Orbic® reimagines your mobile experience. A leader in developing and manufacturing mobile solutions for smart value-tech consumers.,Mobile Accessories & Peripherals - 5G & Telecommunications - Cloud Services - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTAyMg==
4,1OT,"Stand No- H1-B1, Hall No- Hall 1",Estonia,1oT is on a mission to make eSIM technology the connectivity industry standard for everyone in IoT.,Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTUzOA==
5,"3ONEDATA CO., LTD.","Stand No- H15-65, Hall No- Hall 15",China,"Shenzhen's IIoT leader since 2001. Listed on SSE STAR Market in 2020. Innovating, empowering, and delivering holistic solutions.",Networking & Infrastructure - Smart Cities - 5G & Telecommunications - Energy Tech - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTQyOQ==
6,3PILLARS DIGITALIZATION,"Stand No- CC2-3, Hall No- Concourse 2",Saudi Arabia,To accelerate our reach to serve customers across the globe to consistently capitalize on their business information and build better digital realitie,"Software Services - Big Data & Analytics - HealthTech - Internet of Things (IOT) - Metaverse, Immersive Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDk2OQ==
7,42GEARS MOBILITY SYSTEMS,"Stand No- H5-A20-6, Hall No- Hall 5",India,"42Gears offers top-notch enterprise mobility solutions to enhance workforce productivity for over 18,000 customers in 115+ countries.", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzU5OA==
8,5.0 ROBOTICS,"Stand No- H1-B1, Hall No- Hall 1",Estonia,One-machine-for-all SMART Industrial-grade production robots anyone can use at a price everyone can afford.,Smart Cities - 3D Printing & Printing Services - Education Tech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTUzNw==
9,5DVR,"Stand No- H13-B45, Hall No- Hall 13",Egypt,"5dVR: Global XR Solutions. Immersive experiences, training, culture heritage, and more. Transforming industries with innovation.","Blockchain - Education Tech - Gaming - Metaverse, Immersive Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzgxMw==
